treatment,pageviews,calls,reservations,business_id,restaurant_type
0,569,47,44,213,chain
0,686,40,47,214,chain
0,557,39,40,215,chain
0,621,44,42,216,chain
0,720,46,44,217,chain
0,607,44,38,218,chain
0,579,44,28,219,chain
0,537,36,35,220,chain
0,595,39,40,221,chain
0,695,41,41,222,chain
0,684,45,48,223,chain
0,620,36,40,224,chain
0,692,42,38,225,chain
0,484,28,26,226,chain
0,622,36,43,227,chain
0,533,33,35,228,chain
0,693,44,43,229,chain
0,567,44,40,230,chain
0,621,42,42,231,chain
0,610,44,44,232,chain
0,576,38,37,233,chain
0,576,47,35,234,chain
0,549,36,31,235,chain
0,559,44,29,236,chain
0,690,37,40,237,chain
0,600,41,41,238,chain
0,621,37,43,239,chain
0,610,45,41,240,chain
0,600,37,37,241,chain
0,648,45,34,242,chain
0,590,38,30,243,chain
0,628,51,41,244,chain
0,653,47,45,245,chain
0,563,43,37,246,chain
0,652,48,40,247,chain
0,711,47,49,248,chain
0,599,46,44,249,chain
0,614,33,35,250,chain
0,575,45,30,251,chain
0,579,32,38,252,chain
0,541,43,43,253,chain
0,593,47,40,254,chain
0,578,36,43,255,chain
0,614,41,50,256,chain
0,545,41,38,257,chain
0,610,39,30,258,chain
0,585,42,40,259,chain
0,588,37,42,260,chain
0,645,31,43,261,chain
0,518,38,33,262,chain
0,705,33,42,263,chain
0,615,44,36,264,chain
0,610,33,43,265,chain
0,597,37,39,266,chain
0,545,39,39,267,chain
0,578,38,37,268,chain
0,634,46,42,269,chain
0,559,40,39,270,chain
0,553,36,35,271,chain
0,659,44,46,272,chain
0,537,33,42,273,chain
0,580,50,38,274,chain
0,635,47,47,275,chain
0,635,45,49,276,chain
0,691,47,51,277,chain
0,637,32,48,278,chain
0,668,47,45,279,chain
0,588,44,39,280,chain
0,567,40,32,281,chain
0,654,44,49,282,chain
0,661,40,38,283,chain
0,640,45,46,284,chain
0,575,33,43,285,chain
0,579,40,40,286,chain
0,610,38,30,287,chain
0,615,31,41,288,chain
0,569,37,36,289,chain
0,632,38,48,290,chain
0,544,37,46,291,chain
0,586,38,37,292,chain
0,531,41,40,293,chain
0,671,41,43,294,chain
0,620,40,44,295,chain
0,580,38,30,296,chain
0,616,42,38,297,chain
0,666,40,40,298,chain
0,642,44,43,299,chain
0,609,41,41,300,chain
0,638,46,39,301,chain
0,658,42,43,302,chain
0,564,34,39,303,chain
0,537,38,44,304,chain
0,665,41,51,305,chain
0,577,39,36,306,chain
0,498,40,33,307,chain
0,642,41,41,308,chain
0,588,48,47,309,chain
0,633,38,36,310,chain
0,536,30,48,311,chain
0,531,37,41,312,chain
0,620,38,43,313,chain
0,722,45,56,314,chain
0,721,41,46,315,chain
0,575,30,30,316,chain
0,639,37,42,317,chain
0,592,36,44,318,chain
0,593,43,39,319,chain
0,612,48,44,320,chain
0,631,37,36,321,chain
0,631,46,43,322,chain
0,592,31,35,323,chain
0,593,41,37,324,chain
0,634,41,50,325,chain
0,632,49,43,326,chain
0,655,32,38,327,chain
0,663,37,44,328,chain
0,652,48,45,329,chain
0,620,39,42,330,chain
0,578,49,35,331,chain
0,571,37,39,332,chain
0,603,22,40,333,chain
0,588,37,41,334,chain
0,597,38,38,335,chain
0,600,43,45,336,chain
0,527,37,30,337,chain
0,663,44,47,338,chain
0,558,35,41,339,chain
0,538,43,39,340,chain
0,603,33,36,341,chain
0,610,37,40,342,chain
0,637,43,37,343,chain
0,649,40,34,344,chain
0,643,44,46,345,chain
0,680,36,46,346,chain
0,628,46,45,347,chain
0,706,48,42,348,chain
0,657,45,44,349,chain
0,542,34,32,350,chain
0,632,39,39,351,chain
0,604,48,39,352,chain
0,569,36,30,353,chain
0,607,35,36,354,chain
0,646,33,38,355,chain
0,673,44,45,356,chain
0,588,39,42,357,chain
0,574,41,46,358,chain
0,590,44,38,359,chain
0,633,44,41,360,chain
0,491,38,36,361,chain
0,575,39,48,362,chain
0,558,29,39,363,chain
0,529,32,39,364,chain
0,653,39,41,365,chain
0,631,45,40,366,chain
0,513,45,43,367,chain
0,693,39,35,368,chain
0,561,41,36,369,chain
0,618,37,40,370,chain
0,617,49,41,371,chain
0,564,38,28,372,chain
0,646,37,45,373,chain
0,621,43,46,374,chain
0,564,36,41,375,chain
0,499,31,43,376,chain
0,685,40,29,377,chain
0,614,40,52,378,chain
0,545,36,37,379,chain
0,522,32,33,380,chain
0,558,43,37,381,chain
0,585,36,43,382,chain
0,588,39,37,383,chain
0,483,30,38,384,chain
0,560,28,41,385,chain
0,561,40,35,386,chain
0,682,35,41,387,chain
0,600,36,51,388,chain
0,559,40,46,389,chain
0,584,39,41,390,chain
0,583,41,43,391,chain
0,533,35,30,392,chain
0,620,43,37,393,chain
0,554,37,43,394,chain
0,559,42,46,395,chain
0,632,43,39,396,chain
0,582,42,36,397,chain
0,632,53,38,398,chain
0,629,48,32,399,chain
0,632,35,41,400,chain
0,559,40,37,401,chain
0,608,39,46,402,chain
0,698,51,38,403,chain
0,707,46,49,404,chain
0,552,36,45,405,chain
0,670,39,45,406,chain
0,622,44,39,407,chain
0,669,35,38,408,chain
0,582,39,31,409,chain
0,607,43,38,410,chain
0,590,36,40,411,chain
0,648,36,36,412,chain
0,532,35,30,413,chain
0,611,43,42,414,chain
0,596,41,44,415,chain
0,563,43,36,416,chain
0,587,45,37,417,chain
0,628,42,42,418,chain
0,571,40,35,419,chain
0,577,40,33,420,chain
0,603,47,44,421,chain
0,581,41,40,422,chain
0,546,44,36,423,chain
0,598,45,45,424,chain
0,554,37,35,425,chain
0,625,43,41,426,chain
0,667,37,44,427,chain
0,638,33,44,428,chain
0,609,43,36,429,chain
0,636,49,37,430,chain
0,541,33,43,431,chain
0,550,32,44,432,chain
0,653,43,40,433,chain
0,605,36,41,434,chain
0,600,29,46,435,chain
0,516,34,31,436,chain
0,541,44,43,437,chain
0,651,39,46,438,chain
0,563,41,45,439,chain
0,629,44,46,440,chain
0,651,48,43,441,chain
0,578,30,37,442,chain
0,642,33,43,443,chain
0,515,43,36,444,chain
0,604,29,36,445,chain
0,613,40,36,446,chain
0,536,39,29,447,chain
0,506,29,41,448,chain
0,597,41,41,449,chain
0,687,45,46,450,chain
0,609,40,36,451,chain
0,549,41,34,452,chain
0,565,36,28,453,chain
0,572,39,30,454,chain
0,620,39,45,455,chain
0,600,32,33,456,chain
0,626,39,37,457,chain
0,575,37,38,458,chain
0,531,37,39,459,chain
0,685,37,43,460,chain
0,581,37,41,461,chain
0,582,48,43,462,chain
0,559,43,48,463,chain
0,555,42,43,464,chain
0,649,46,36,465,chain
0,585,38,46,466,chain
0,624,38,48,467,chain
0,518,30,31,468,chain
0,600,42,41,469,chain
0,614,41,50,470,chain
0,589,34,36,471,chain
0,602,42,43,472,chain
0,611,32,32,473,chain
0,613,50,43,474,chain
0,632,45,34,475,chain
0,720,41,41,476,chain
0,601,38,43,477,chain
0,585,39,45,478,chain
0,576,37,38,479,chain
0,563,39,37,480,chain
0,492,37,25,481,chain
0,575,35,38,482,chain
0,530,44,35,483,chain
0,541,37,38,484,chain
0,595,40,42,485,chain
0,556,47,38,486,chain
0,553,42,40,487,chain
0,657,35,45,488,chain
0,696,48,53,489,chain
0,602,39,35,490,chain
0,655,45,43,491,chain
0,696,50,41,492,chain
0,629,42,48,493,chain
0,543,40,38,494,chain
0,562,39,42,495,chain
0,714,41,48,496,chain
0,465,35,37,497,chain
0,663,40,42,498,chain
0,614,42,34,499,chain
0,607,37,33,500,chain
0,572,43,37,501,chain
0,625,47,46,502,chain
0,677,42,44,503,chain
0,547,44,47,504,chain
0,605,45,36,505,chain
0,658,37,47,506,chain
0,678,45,41,507,chain
0,633,46,43,508,chain
0,594,43,45,509,chain
0,654,28,43,510,chain
0,610,41,41,511,chain
0,611,32,36,512,chain
0,609,36,41,513,chain
0,677,38,41,514,chain
0,626,43,39,515,chain
0,631,43,47,516,chain
0,656,41,41,517,chain
0,609,36,39,518,chain
0,548,45,38,519,chain
0,690,48,42,520,chain
0,637,39,42,521,chain
0,540,45,44,522,chain
0,559,50,47,523,chain
0,615,43,37,524,chain
0,611,45,46,525,chain
0,654,42,45,526,chain
0,690,36,41,527,chain
0,590,35,30,528,chain
0,495,47,42,529,chain
0,543,44,38,530,chain
0,500,39,42,531,chain
0,542,41,31,532,chain
0,690,48,44,533,chain
0,717,49,42,534,chain
0,598,47,39,535,chain
0,612,45,39,536,chain
0,634,37,40,537,chain
0,575,46,41,538,chain
0,630,38,44,539,chain
0,569,41,47,540,chain
0,635,46,48,541,chain
0,595,32,34,542,chain
0,690,44,47,543,chain
0,580,45,40,544,chain
0,715,41,44,545,chain
0,564,42,40,546,chain
0,625,40,38,547,chain
0,580,34,37,548,chain
0,614,45,40,549,chain
0,555,39,36,550,chain
0,652,49,41,551,chain
0,643,41,43,552,chain
0,670,43,43,553,chain
0,731,44,42,554,chain
0,610,35,38,555,chain
0,603,40,31,556,chain
0,596,40,36,557,chain
0,559,36,41,558,chain
0,641,39,41,559,chain
0,648,43,37,560,chain
0,629,43,47,561,chain
0,564,39,38,562,chain
0,677,29,38,563,chain
0,546,49,41,564,chain
0,607,38,39,565,chain
0,664,34,34,566,chain
0,583,36,35,567,chain
0,697,45,44,568,chain
0,637,39,42,569,chain
0,574,39,43,570,chain
0,655,35,43,571,chain
0,479,39,30,572,chain
0,548,32,43,573,chain
0,596,37,42,574,chain
0,581,43,41,575,chain
0,497,40,32,576,chain
0,631,41,43,577,chain
0,515,39,43,578,chain
0,647,36,34,579,chain
0,520,43,33,580,chain
0,601,36,46,581,chain
0,597,39,47,582,chain
0,474,45,36,583,chain
0,601,41,41,584,chain
0,559,34,35,585,chain
0,616,45,45,586,chain
0,572,44,43,587,chain
0,620,30,46,588,chain
0,582,34,43,589,chain
0,629,46,48,590,chain
0,533,35,31,591,chain
0,575,42,40,592,chain
0,593,46,46,593,chain
0,638,42,42,594,chain
0,566,44,40,595,chain
0,643,37,44,596,chain
0,637,37,40,597,chain
0,592,41,43,598,chain
0,684,43,40,599,chain
0,524,35,40,600,chain
0,684,42,45,601,chain
0,571,37,39,602,chain
0,552,30,43,603,chain
0,575,36,37,604,chain
0,584,30,35,605,chain
0,637,34,39,606,chain
0,623,43,30,607,chain
0,604,38,39,608,chain
0,643,37,36,609,chain
0,566,40,39,610,chain
0,635,43,41,611,chain
0,631,40,42,612,chain
0,544,51,41,613,chain
0,618,47,42,614,chain
0,535,34,45,615,chain
0,564,38,28,616,chain
0,702,41,35,617,chain
0,621,49,47,618,chain
0,590,41,37,619,chain
0,649,38,38,620,chain
0,560,45,40,621,chain
0,533,39,32,622,chain
0,623,54,37,623,chain
0,526,31,36,624,chain
0,566,47,38,625,chain
0,504,40,31,626,chain
0,529,37,36,627,chain
0,578,38,42,628,chain
0,601,41,35,629,chain
0,605,47,37,630,chain
0,562,35,39,631,chain
0,622,40,39,632,chain
0,610,44,35,633,chain
0,627,32,47,634,chain
0,578,48,42,635,chain
0,568,39,46,636,chain
0,662,45,46,637,chain
0,589,39,37,638,chain
0,665,42,39,639,chain
0,528,35,32,640,chain
0,649,45,40,641,chain
0,599,41,47,642,chain
0,621,44,27,643,chain
0,629,41,48,644,chain
0,630,40,33,645,chain
0,583,34,41,646,chain
0,510,40,31,647,chain
0,628,33,42,648,chain
0,605,39,50,649,chain
0,610,42,37,650,chain
0,648,43,47,651,chain
0,577,46,39,652,chain
0,579,38,41,653,chain
0,549,40,39,654,chain
0,551,45,39,655,chain
0,509,40,43,656,chain
0,574,35,41,657,chain
0,664,44,46,658,chain
0,585,41,34,659,chain
0,580,39,34,660,chain
0,638,44,44,661,chain
0,576,34,38,662,chain
0,587,32,39,663,chain
0,633,46,40,664,chain
0,610,40,34,665,chain
0,540,44,39,666,chain
0,522,33,36,667,chain
0,642,37,46,668,chain
0,620,35,38,669,chain
0,622,33,43,670,chain
0,585,37,47,671,chain
0,611,42,39,672,chain
0,592,48,39,673,chain
0,598,50,44,674,chain
0,574,39,38,675,chain
0,542,35,34,676,chain
0,623,39,38,677,chain
0,597,40,45,678,chain
0,607,46,40,679,chain
0,656,47,49,680,chain
0,584,39,36,681,chain
0,640,42,36,682,chain
0,614,42,41,683,chain
0,561,36,35,684,chain
0,513,36,30,685,chain
0,524,38,37,686,chain
0,684,43,45,687,chain
0,614,43,45,688,chain
0,575,36,41,689,chain
0,586,37,37,690,chain
0,552,37,37,691,chain
0,512,37,33,692,chain
0,640,43,36,693,chain
0,610,33,43,694,chain
0,619,32,42,695,chain
0,575,39,37,696,chain
0,579,43,34,697,chain
0,621,32,48,698,chain
0,580,39,43,699,chain
0,592,32,30,700,chain
0,613,45,48,701,chain
0,645,37,44,702,chain
0,566,38,43,703,chain
0,619,39,41,704,chain
0,624,43,41,705,chain
0,548,38,41,706,chain
0,623,40,32,707,chain
0,623,48,42,708,chain
0,588,41,45,709,chain
0,580,26,40,710,chain
0,540,35,38,711,chain
0,624,40,49,712,chain
0,681,48,34,713,chain
0,607,41,41,714,chain
0,607,46,45,715,chain
0,626,32,43,716,chain
0,687,39,43,717,chain
0,659,41,39,718,chain
0,719,42,47,719,chain
0,593,50,33,720,chain
0,646,30,42,721,chain
0,660,53,35,722,chain
0,574,35,39,723,chain
0,629,31,49,724,chain
0,663,46,39,725,chain
0,611,42,39,726,chain
0,677,40,39,727,chain
0,630,42,37,728,chain
0,529,41,42,729,chain
0,642,49,45,730,chain
0,547,36,33,731,chain
0,632,42,42,732,chain
0,554,39,45,733,chain
0,483,26,32,734,chain
0,589,37,46,735,chain
0,651,48,42,736,chain
0,485,45,34,737,chain
0,644,35,47,738,chain
0,661,37,46,739,chain
0,599,45,35,740,chain
0,569,36,37,741,chain
0,645,32,37,742,chain
0,644,44,41,743,chain
0,672,44,47,744,chain
0,573,39,46,745,chain
0,562,36,43,746,chain
0,568,41,32,747,chain
0,576,44,38,748,chain
0,527,37,38,749,chain
0,622,39,39,750,chain
0,566,35,44,751,chain
0,520,39,42,752,chain
0,666,42,53,753,chain
0,610,30,38,754,chain
0,459,38,31,755,chain
0,595,42,42,756,chain
0,708,41,44,757,chain
0,600,38,47,758,chain
0,642,38,47,759,chain
0,551,42,39,760,chain
0,606,36,45,761,chain
0,598,36,38,762,chain
0,624,34,48,763,chain
0,547,37,43,764,chain
0,534,46,37,765,chain
0,620,34,47,766,chain
0,650,47,41,767,chain
0,599,40,38,768,chain
0,586,34,47,769,chain
0,587,44,46,770,chain
0,616,41,30,771,chain
0,584,35,29,772,chain
0,560,39,44,773,chain
0,580,31,32,774,chain
0,588,39,37,775,chain
0,630,37,43,776,chain
0,604,37,35,777,chain
0,634,40,36,778,chain
0,556,35,32,779,chain
0,629,45,41,780,chain
0,599,45,38,781,chain
0,735,50,48,782,chain
0,641,38,44,783,chain
0,552,40,38,784,chain
0,637,47,39,785,chain
0,546,38,43,786,chain
0,534,44,36,787,chain
0,569,44,38,788,chain
0,616,37,46,789,chain
0,552,42,43,790,chain
0,559,36,32,791,chain
0,605,38,29,792,chain
0,544,25,30,793,chain
0,568,47,33,794,chain
0,635,41,45,795,chain
0,604,37,41,796,chain
0,638,46,52,797,chain
0,447,41,37,798,chain
0,539,44,40,799,chain
0,541,35,45,800,chain
0,538,36,40,801,chain
0,605,37,42,802,chain
0,575,38,43,803,chain
0,608,36,29,804,chain
0,581,37,38,805,chain
0,619,48,40,806,chain
0,592,40,37,807,chain
0,612,40,26,808,chain
0,581,34,40,809,chain
0,642,37,42,810,chain
0,561,38,46,811,chain
0,586,30,33,812,chain
0,553,35,39,813,chain
0,437,33,33,814,chain
0,584,33,35,815,chain
0,546,36,41,816,chain
0,566,42,38,817,chain
0,603,46,41,818,chain
0,606,46,36,819,chain
0,645,47,46,820,chain
0,659,41,49,821,chain
0,656,49,34,822,chain
0,594,54,44,823,chain
0,629,45,39,824,chain
0,625,45,35,825,chain
0,629,46,36,826,chain
0,513,41,34,827,chain
0,548,35,40,828,chain
0,660,35,43,829,chain
0,665,40,43,830,chain
0,612,35,37,831,chain
0,553,44,33,832,chain
0,692,49,41,833,chain
0,613,44,40,834,chain
0,592,45,37,835,chain
0,724,48,49,836,chain
0,623,52,39,837,chain
0,633,47,48,838,chain
0,685,41,38,839,chain
0,623,38,34,840,chain
0,632,43,37,841,chain
0,469,32,28,842,chain
0,478,36,38,843,chain
0,548,39,30,844,chain
0,590,45,39,845,chain
0,622,51,50,846,chain
0,593,36,39,847,chain
0,669,46,37,848,chain
0,534,36,34,849,chain
0,521,37,40,850,chain
0,600,37,51,851,chain
0,627,45,49,852,chain
0,636,46,42,853,chain
0,605,36,39,854,chain
0,567,44,43,855,chain
0,559,44,38,856,chain
0,570,40,41,857,chain
0,613,43,43,858,chain
0,607,36,36,859,chain
0,579,40,45,860,chain
0,645,49,44,861,chain
0,548,34,39,862,chain
0,610,48,35,863,chain
0,582,48,43,864,chain
0,609,35,56,865,chain
0,602,44,41,866,chain
0,591,39,40,867,chain
0,679,45,41,868,chain
0,543,44,40,869,chain
0,622,46,40,870,chain
0,625,50,42,871,chain
0,647,42,40,872,chain
0,679,40,48,873,chain
0,729,40,51,874,chain
0,650,45,42,875,chain
0,678,36,50,876,chain
0,637,45,45,877,chain
0,555,40,37,878,chain
0,583,36,44,879,chain
0,622,44,40,880,chain
0,569,37,35,881,chain
0,608,42,43,882,chain
0,665,39,53,883,chain
0,601,46,41,884,chain
0,608,41,41,885,chain
0,507,41,41,886,chain
0,644,45,36,887,chain
0,588,42,31,888,chain
0,576,44,39,889,chain
0,606,30,41,890,chain
0,645,49,39,891,chain
0,537,29,35,892,chain
0,618,33,44,893,chain
0,603,42,35,894,chain
0,620,41,38,895,chain
0,559,48,30,896,chain
0,534,39,29,897,chain
0,674,47,51,898,chain
0,578,33,32,899,chain
0,603,30,36,900,chain
0,645,46,45,901,chain
0,525,35,33,902,chain
0,610,46,36,903,chain
0,552,36,37,904,chain
0,675,43,41,905,chain
0,601,46,43,906,chain
0,542,36,40,907,chain
0,630,34,41,908,chain
0,635,44,44,909,chain
0,614,39,46,910,chain
0,657,35,41,911,chain
0,565,38,47,912,chain
0,604,43,46,913,chain
0,581,40,42,914,chain
0,581,31,34,915,chain
0,597,39,41,916,chain
0,589,43,46,917,chain
0,632,41,43,918,chain
0,696,50,44,919,chain
0,613,37,39,920,chain
0,651,37,39,921,chain
0,534,38,44,922,chain
0,550,44,37,923,chain
0,471,41,38,924,chain
0,694,46,44,925,chain
0,577,36,38,926,chain
0,638,41,46,927,chain
0,560,42,39,928,chain
0,614,39,34,929,chain
0,485,39,34,930,chain
0,572,43,30,931,chain
0,660,46,42,932,chain
0,539,37,36,933,chain
0,596,36,36,934,chain
0,592,38,45,935,chain
0,639,43,35,936,chain
0,630,32,39,937,chain
0,584,41,48,938,chain
0,519,33,36,939,chain
0,534,34,43,940,chain
0,463,32,29,941,chain
0,639,39,40,942,chain
0,618,35,40,943,chain
0,529,30,44,944,chain
0,637,42,42,945,chain
0,553,39,32,946,chain
0,626,41,45,947,chain
0,666,40,45,948,chain
0,650,47,39,949,chain
0,638,36,37,950,chain
0,680,43,47,951,chain
0,614,43,44,952,chain
0,498,37,46,953,chain
0,623,42,42,954,chain
0,589,34,51,955,chain
0,625,39,40,956,chain
0,698,44,44,957,chain
0,625,29,43,958,chain
0,536,34,38,959,chain
0,595,40,47,960,chain
0,631,41,39,961,chain
0,634,44,43,962,chain
0,675,44,49,963,chain
0,581,42,36,964,chain
0,595,38,44,965,chain
0,583,39,37,966,chain
0,582,44,45,967,chain
0,622,45,41,968,chain
0,550,44,40,969,chain
0,590,40,41,970,chain
0,520,34,38,971,chain
0,597,37,39,972,chain
0,647,45,34,973,chain
0,555,41,32,974,chain
0,580,39,41,975,chain
0,623,39,46,976,chain
0,619,38,41,977,chain
0,681,53,45,978,chain
0,584,42,39,979,chain
0,603,45,45,980,chain
0,664,41,47,981,chain
0,606,38,45,982,chain
0,601,45,38,983,chain
0,576,33,49,984,chain
0,587,37,43,985,chain
0,612,46,36,986,chain
0,641,38,34,987,chain
0,679,31,35,988,chain
0,688,48,41,989,chain
0,649,46,34,990,chain
0,594,37,37,991,chain
0,650,44,40,992,chain
0,622,47,42,993,chain
0,591,42,37,994,chain
0,516,33,35,995,chain
0,640,36,38,996,chain
0,598,39,39,997,chain
0,557,43,38,998,chain
0,721,40,39,999,chain
0,669,40,45,1000,chain
0,571,58,38,1001,chain
0,620,41,38,1002,chain
0,631,32,39,1003,chain
0,583,39,44,1004,chain
0,621,38,43,1005,chain
0,631,47,31,1006,chain
0,530,31,37,1007,chain
0,587,34,39,1008,chain
0,628,38,51,1009,chain
0,656,39,44,1010,chain
0,542,28,31,1011,chain
0,629,37,43,1012,chain
0,544,35,32,1013,chain
0,581,35,35,1014,chain
0,596,42,41,1015,chain
0,618,39,36,1016,chain
0,587,45,40,1017,chain
0,663,41,47,1018,chain
0,551,37,39,1019,chain
0,680,41,43,1020,chain
0,600,37,39,1021,chain
0,569,39,30,1022,chain
0,596,33,40,1023,chain
0,659,46,42,1024,chain
0,629,41,48,1025,chain
0,604,36,37,1026,chain
0,629,34,30,1027,chain
0,608,36,35,1028,chain
0,583,38,37,1029,chain
0,603,35,40,1030,chain
0,604,37,38,1031,chain
0,666,39,44,1032,chain
0,626,40,45,1033,chain
0,584,33,36,1034,chain
0,641,44,40,1035,chain
0,707,41,47,1036,chain
0,637,45,36,1037,chain
0,612,42,38,1038,chain
0,595,40,38,1039,chain
0,609,40,54,1040,chain
0,576,39,46,1041,chain
0,624,53,41,1042,chain
0,620,46,40,1043,chain
0,549,43,39,1044,chain
0,629,42,44,1045,chain
0,610,41,41,1046,chain
0,594,40,44,1047,chain
0,640,38,33,1048,chain
0,687,48,48,1049,chain
0,620,44,39,1050,chain
0,564,39,31,1051,chain
0,579,37,44,1052,chain
0,623,39,40,1053,chain
0,683,38,53,1054,chain
0,617,34,34,1055,chain
0,594,40,39,1056,chain
0,553,47,37,1057,chain
0,596,48,39,1058,chain
0,590,38,41,1059,chain
0,580,36,36,1060,chain
0,620,43,39,1061,chain
0,559,41,39,1062,chain
0,597,42,42,1063,chain
0,655,46,41,1064,chain
0,619,45,34,1065,chain
0,660,47,44,1066,chain
0,755,51,42,1067,chain
